,datetime,load
48325,19-05-2019 09:15,1393.1951
48326,19-05-2019 09:30,1408.7719
48327,19-05-2019 09:45,1428.4452
48328,19-05-2019 10:00,1455.8843
48329,19-05-2019 10:15,1490.2831
48330,19-05-2019 10:30,1528.3322
48331,19-05-2019 10:45,1568.2942
48332,19-05-2019 11:00,1609.2451
48333,19-05-2019 11:15,1652.9164
48334,19-05-2019 11:30,1706.8428
48335,19-05-2019 11:45,1777.25
48336,19-05-2019 12:00,1865.1226
48337,19-05-2019 12:15,1957.4374
48338,19-05-2019 12:30,2024.4602
48339,19-05-2019 12:45,2066.4038
48340,19-05-2019 13:00,2090.6812
48341,19-05-2019 13:15,2100.9907
48342,19-05-2019 13:30,2098.2075
48343,19-05-2019 13:45,2086.5667
48344,19-05-2019 14:00,2072.1165
48345,19-05-2019 14:15,2058.9822
48346,19-05-2019 14:30,2046.8942
48347,19-05-2019 14:45,2033.4949
48348,19-05-2019 15:00,2016.5221
48349,19-05-2019 15:15,1994.9105
48350,19-05-2019 15:30,1968.7601
48351,19-05-2019 15:45,1938.8676
48352,19-05-2019 16:00,1906.6266
48353,19-05-2019 16:15,1873.4105
48354,19-05-2019 16:30,1840.7804
48355,19-05-2019 16:45,1809.8016
48356,19-05-2019 17:00,1781.0626
48357,19-05-2019 17:15,1754.4779
48358,19-05-2019 17:30,1729.7526
48359,19-05-2019 17:45,1707.0746
48360,19-05-2019 18:00,1687.0867
48361,19-05-2019 18:15,1670.7218
48362,19-05-2019 18:30,1658.6549
48363,19-05-2019 18:45,1651.3578
48364,19-05-2019 19:00,1648.9304
48365,19-05-2019 19:15,1651.2656
48366,19-05-2019 19:30,1657.5848
48367,19-05-2019 19:45,1667.1991
48368,19-05-2019 20:00,1679.4001
48369,19-05-2019 20:15,1693.557
48370,19-05-2019 20:30,1709.1744
48371,19-05-2019 20:45,1725.7938
48372,19-05-2019 21:00,1743.0016
48373,19-05-2019 21:15,1760.4237
48374,19-05-2019 21:30,1778.1038
48375,19-05-2019 21:45,1795.4265
48376,19-05-2019 22:00,1811.6157
48377,19-05-2019 22:15,1825.9622
48378,19-05-2019 22:30,1838.1807
48379,19-05-2019 22:45,1848.8835
48380,19-05-2019 23:00,1858.3004
48381,19-05-2019 23:15,1863.489
48382,19-05-2019 23:30,1862.433
48383,19-05-2019 23:45,1866.7961
53760,15-07-2019 00:00,1872.2671
53761,15-07-2019 00:15,1866.1139
53762,15-07-2019 00:30,1854.2356
53763,15-07-2019 00:45,1836.7339
53764,15-07-2019 01:00,1815.3049
53765,15-07-2019 01:15,1791.9458
53766,15-07-2019 01:30,1767.7576
53767,15-07-2019 01:45,1743.8837
